,text,sentiment
0,i would respond if i go,neutral
1,soo sad i will miss you here san diego !,negative
2,my boss bully me ...,negative
3,what interview ! leave me alone,negative
4,son why could not they put them the release we already buy,negative
5,some shameless plugging the good ranger forum earth,neutral
6,feeding the baby fun when he all smile and coo,positive
7,soo high,neutral
8,both you,neutral
9,journey ! ? wow ... You just become cool hehe that possible,positive
10,as much as i love to hopeful i reckon the chance minimal p i never gon na my cake and stuff,neutral
11,i really really like the song love story taylor swift,positive
12,my sharpie run dangerously low ink,negative
13,i want to go music tonight but i lose my voice,negative
14,test test the lg env2,neutral
15,uh oh i sunburn,negative
16,s`ok try to plot alternative as we speak sigh,negative
17,i sick the past few day and thus my hair look wierd if i nt a hat it would look ...,negative
18,back home now gon na miss every,negative
19,he just not that you,neutral
20,oh marly i so sorry ! i hope you find her soon EMOTION_LOVE     EMOTION_LOVE,neutral
21,play ghost online really interesting the new update kirin pet and metamorph third job can`t wait to a dragon pet,positive
22,clean the house her family who comme later today,neutral
23,get ta restart my computer i think win7 suppose to put an end the constant rebootiness,neutral
24,see wat i mean bout foll0w friiday ... it`s call lose f0llowers friday,neutral
25,the free fillin app my ipod fun i addict,positive
26,i sorry,negative
27,the way malaysia ... no internet access twit,negative
28,juss come backk berkeleyy omg its madd fun out there nt out there a minute whassqoodd ?,positive
29,go to sleep and there a power cut noida power back not work too,negative
30,i go home now you see my new twitter design ? quite heavenly isn,positive
31,i hope unni will make the audition fight dahye unni !,positive
32,if it any consolation i get my bmi test hahaha it say i obese well so much unhappy about minute,negative
33,that`s very funny cute kid,positive
34,ahh i sleep the game i gon na try my good to watch tomorrow though i hope we play army,neutral
35,that s it its the end tear fear eric prydz dj hero,neutral
36,bear and raise nyc and live texas the past year ! i still miss ny,negative
37,just case you wonder we really busy today and this come add ton new blog and update stay tune,neutral
38,i soo sleepy ! the last day o school today sniffle,negative
39,a little happy the wine jeje ok my free time so who care jaja i love this day,positive
40,car not happy big big dent boot ! hope they re not go to write it cross finger and wait,neutral
41,i an avid fan magazine and i love your magazine,positive
42,mayday ? !,neutral
43,ratt rock nashville tonite thing suck no encore ! like the 80`s they still a fun show pearcy that hott bad boy look,neutral
44,i love to ! but i only available pm and where dear ? would love to help convert her vids.i,positive
45,the girl the hair salon ask me shall i trim your eyebrow ! how old i feel ?,neutral
46,egh blah and boo i dunno wanna go work hangover suckk i a drunk mess !,negative
47,visit my friendster and facebook,neutral
48,i donbt like to peel prawn i also nt like go shop run out money and crawl round the car look more,negative
49,which case ? i get a new last week and i not thrill at all mine,negative
50,then you should check and connect other tweeple who hate twitter,neutral
51,also bore school its my third freelesson freistunde,neutral
52,hm ... both us i guess,neutral
53,it ... You dissappointe me that past few day,negative
54,romance zero funny,positive
55,i would rather the early run but i a morning runner,neutral
56,bah a coworker run work late and her bag smack my knee it really hurt now,negative
57,will back later,neutral
58,aw tear ace heart # hunchback,negative
59,what fun you speak ?,neutral
60,i lose all my friend i alone and sleepy i wanna go home,negative
61,haha yes,neutral
62,i give easily,negative
63,what well way to spoil mum than to let her kick back and relax a nice meal and a bottle her favorite wine ? our wine a red,positive
64,mann _ get an iphone ! i jealous,negative
65,a photoshoot,neutral
66,he`s awesome ... you work him before ? he`s a good friend,positive
67,yay play a show tonight ! boo it gon soggy and i work right play,neutral
68,chilliin,positive
69,if you know such agent let me know,neutral
70,i still smell smoke # kitchenfire,neutral
71,a celtic laker rematch sound better not you think ? laugh loud,positive
72,anyone an extra keane ticket ? i promise to buy you a drink and take rad pic your fb blog flickr,neutral
73,you can ride you can catch but its not summer til you pop open ?,neutral
74,she good ! so gor juz yea i kno i ask her yesterday when we tha hospital if she talk You and she say no,neutral
75,ok i out here now just pop to say hi and check thing i will probably head the guttah later tonight,neutral
76,wow i really missin the fam(ily today badd,negative
77,my source say no,neutral
78,i soo tired,negative
79,hey you change your twitter account and you not even tell me ...,neutral
80,thank yyoouu !,positive
81,lucky kid ... i so wanna see loserville pity i oz,positive
82,fall asleep wait my ride !,neutral
83,sick a flu like thing,negative
84,still no reply my simfinger problem so no irape parody video i get a response sorry guy,negative
85,happy star wars day everyone ! and enjoy the holiday uk,positive
86,mile you i essex so give me plenty warning so i can arrive time to at least those free beer,neutral
87,his snoring so annoying n it keep me sleep like right now laugh Loud but i honestly wud miss it if it leave i love him,neutral
88,i miss you bby wish you go tomorrow to make me good,negative
89,well what i work not quite ready to post about publicly still beta testing but its a cool new script i code,positive
90,sweet san fran awesome ! love it there,positive
91,_ mounce yes and it last way my bedtime !,neutral
92,hi how you do ? just join twitter ...,neutral
93,wait sleep pill to kick in ... gon na so tired work tomorrow,negative
94,eat ice cream and then get ready graduation,neutral
95,happy mothers day all you mum out there,positive
96,casey`s go ? ! but why so she piddle a little the carpet she`s prolly freak cause it new can we her back,negative
97,hemp cloth marvelous but unfortunately no,negative
98,gon na read a story bout adam lambert online then bed nighty night,neutral
99,we see that none 3d the baddie`s the good,positive
