,text,sentiment
0,respond go,neutral
1,soo sad miss san diego !,negative
2,boss bully ...,negative
3,interview ! leave,negative
4,son not release buy,negative
5,shameless plugging good ranger forum earth,neutral
6,feeding baby fun smile coo,positive
7,soo high,neutral
9,journey ! ? wow ... cool hehe possible,positive
10,love hopeful reckon chance minimal p gon na cake stuff,neutral
11,like song love story taylor swift,positive
12,sharpie run dangerously low ink,negative
13,want music tonight lose voice,negative
14,test test lg env2,neutral
15,uh oh sunburn,negative
16,s`ok try plot alternative speak sigh,negative
17,sick past day hair look wierd nt hat look ...,negative
18,home gon na miss,negative
19,not,neutral
20,oh marly sorry ! hope find soon EMOTION_LOVE     EMOTION_LOVE,neutral
21,play ghost online interesting new update kirin pet metamorph job can`t wait dragon pet,positive
22,clean house family comme later today,neutral
23,get ta restart computer think win7 suppose end constant rebootiness,neutral
24,wat mean bout foll0w friiday ... it`s call lose f0llowers friday,neutral
25,free fillin app ipod fun addict,positive
26,sorry,negative
27,way malaysia ... no internet access twit,negative
28,juss come backk berkeleyy omg madd fun nt minute whassqoodd ?,positive
29,go sleep power cut noida power not work,negative
30,go home see new twitter design ? heavenly isn,positive
31,hope unni audition fight dahye unni !,positive
32,consolation get bmi test hahaha say obese unhappy minute,negative
33,that`s funny cute kid,positive
34,ahh sleep game gon na try good watch tomorrow hope play army,neutral
35,s end tear fear eric prydz dj hero,neutral
36,bear raise nyc live texas past year ! miss ny,negative
37,case wonder busy today come add ton new blog update stay tune,neutral
38,soo sleepy ! day o school today sniffle,negative
39,little happy wine jeje ok free time care jaja love day,positive
40,car not happy big big dent boot ! hope not go write cross finger wait,neutral
41,avid fan magazine love magazine,positive
42,mayday ? !,neutral
43,ratt rock nashville tonite thing suck no encore ! like 80`s fun pearcy hott bad boy look,neutral
44,love ! available pm dear ? love help convert vids.i,positive
45,girl hair salon ask shall trim eyebrow ! old feel ?,neutral
46,egh blah boo dunno wanna work hangover suckk drunk mess !,negative
47,visit friendster facebook,neutral
48,donbt like peel prawn nt like go shop run money crawl round car look,negative
49,case ? get new week not thrill,negative
50,check connect tweeple hate twitter,neutral
51,bore school freelesson freistunde,neutral
52,hm ... guess,neutral
53,... dissappointe past day,negative
54,romance zero funny,positive
55,early run morning runner,neutral
56,bah coworker run work late bag smack knee hurt,negative
57,later,neutral
58,aw tear ace heart # hunchback,negative
59,fun speak ?,neutral
60,lose friend sleepy wanna home,negative
61,haha yes,neutral
62,easily,negative
63,well way spoil mum let kick relax nice meal bottle favorite wine ? wine red,positive
64,mann _ get iphone ! jealous,negative
65,photoshoot,neutral
66,he`s awesome ... work ? he`s good friend,positive
67,yay play tonight ! boo gon soggy work right play,neutral
68,chilliin,positive
69,know agent let know,neutral
70,smell smoke # kitchenfire,neutral
71,celtic laker rematch sound better not think ? laugh loud,positive
72,extra keane ticket ? promise buy drink rad pic fb blog flickr,neutral
73,ride catch not summer til pop open ?,neutral
74,good ! gor juz yea kno ask yesterday tha hospital talk say no,neutral
75,ok pop hi check thing probably head guttah later tonight,neutral
76,wow missin fam(ily today badd,negative
77,source no,neutral
78,soo tired,negative
79,hey change twitter account not tell ...,neutral
80,thank yyoouu !,positive
81,lucky kid ... wanna loserville pity oz,positive
82,fall asleep wait ride !,neutral
83,sick flu like thing,negative
84,no reply simfinger problem no irape parody video response sorry guy,negative
85,happy star wars day ! enjoy holiday uk,positive
86,mile essex plenty warning arrive time free beer,neutral
87,snoring annoying n keep sleep like right laugh Loud honestly wud miss leave love,neutral
88,miss bby wish go tomorrow good,negative
89,work not ready post publicly beta testing cool new script code,positive
90,sweet san fran awesome ! love,positive
91,_ mounce yes last way bedtime !,neutral
92,hi ? join twitter ...,neutral
93,wait sleep pill kick ... gon na tired work tomorrow,negative
94,eat ice cream get ready graduation,neutral
95,happy mothers day mum,positive
96,casey`s go ? ! piddle little carpet she`s prolly freak cause new,negative
97,hemp cloth marvelous unfortunately no,negative
98,gon na read story bout adam lambert online bed nighty night,neutral
99,see 3d baddie`s good,positive
